Name,description,deadline
Life's Gold,Bash,2014-09-12
Signa Air,Prolog,2013-02-24
Miro Technologies,haXe,2015-07-19
Soyo Group,Rust,2007-01-24
Bebo,Julia,2005-02-04
Altec Lansing,F#,2008-04-20
Advanced Micro Devices,Elixir,2009-09-26
AMETEK,AutoIt,2009-03-09
Pluto Marine,Rust,2008-06-14
Northern Star,Common Lisp,2012-04-27
Martin Marietta Materials,Lua,2020-01-01
Limited Brands,C++,2017-12-27
Elizabeth Arden,ASP,2005-07-17
Deere & Company,Tcl,2013-09-18
Gemini Sound Products,Delphi,2019-04-17
Amerigroup,PL-I,2012-11-29
Hasbro,Scheme,2007-12-26
General Dynamics,Io,2002-11-23
Rollins Inc.,CoffeeScript,2015-11-02
C.H. Robinson Worldwide,Falcon,2006-06-29
Intel,Dylan,2011-01-23
Winnebago Industries,Julia,2018-01-05
Magna Solution,haXe,2001-07-17
Quest Technology Service,Dart,2010-09-26
Zig Zag Children Clothes,Delphi,2015-05-12
Fresh Start,Tcl,2008-08-05
Converse,Delphi,2003-10-16
Wealthy Ideas,Tex,2008-07-11
News Corporation,Lua,2013-07-04
Dollar Tree,Falcon,2001-05-07
U.S. Robotics,JavaScript,2014-07-28
The White Swan,Dylan,2001-10-21
Big Lots,Ceylon,2003-03-28
Principal Financial Group,ECMAScript,2005-01-28
National Railway Equipment Company,Scala,2019-10-07
Colt's Manufacturing Company,R,2014-08-19
Carnival Cruise Lines,J#,2001-02-26
Human Kinetics,Falcon,2007-01-14
Polaris Industries,Io,2012-02-20
Boeing,PL-I,2018-10-25
Texas Instruments,Haskell,2000-04-15
American Financial Group,Scheme,2019-01-02
Gamma Grays,OCaml,2012-06-10
Payless ShoeSource,Haskell,2009-12-04
Global Insight,Fortran,2016-06-12
CKE Restaurants,R,2004-05-25
Simply Appraisals,Z shell,2005-05-05
Antec,R,2007-10-17
Fabrik Inc.,Java,2014-10-08
Martin Marietta Materials,Objective-C,2018-05-10
Citigroup,Tcl,2014-07-20
Ecolab,C#,2011-06-14
Magna Architectural Design,PL-SQL,2019-07-28
"PalmOne, Inc.",Fortran,2010-02-06
Venus Swimwear,D,2017-03-31
Complete Tech,PowerShell,2011-10-11
Orion,Haskell,2018-03-29
Snap-on Tools,Lua,2016-08-12
Baxter International,Dart,2011-08-25
DST Systems,Assembly,2017-03-06
Starbucks,Transact-SQL,2013-05-24
Apple Inc.,R,2015-07-19
Baker Hughes,Assembly,2008-11-05
BB&T Corporation,Io,2001-08-30
Sexsi Senorita,Julia,2014-02-18
Spectrum Brands,Bash,2020-10-15
Choices,Ruby,2009-12-11
Danaher,Delphi,2005-01-02
Magna Architectural Design,PL-SQL,2008-06-30
Yahoo!,PowerShell,2009-01-01
Interstate Batteries,Tex,2007-05-14
Bain Capital,Haskell,2010-09-30
Lowe's,C++,2000-04-15
"CA, Inc.",JavaScript,2014-07-12
Always (product),JavaScript,2016-05-23
Corning Incorporated,Go,2002-09-10
Sky High Financial Advice,C++,2011-07-20
Analog Devices,C Shell,2015-08-03
Wealth Zone Group,C++,2006-02-22
Better Business Ideas and Services,Prolog,2004-08-06
Southern California Edison,PHP,2013-06-07
"PalmSource, Inc.",Tcl,2007-07-12
Convergys Corp.,Haskell,2008-07-11
Plan Smart Partner,PowerShell,2007-10-15
"Cisco Systems, Inc.",Elixir,2000-05-13
Amerigroup,Erlang,2010-12-02
America Online,D,2002-07-12
Bountiful Harvest Health Food Store,Racket,2018-11-10
Colt's Manufacturing Company,Python,2017-12-08
Gibson Guitar Corporation,Elixir,2016-07-25
Happy Family,Objective-C,2019-04-05
Marantz,Lua,2000-04-03
Warner Bros. Entertainment,Perl,2016-09-14
Coventry Health Care,Haskell,2007-02-14
Comodo,Tcl,2000-01-31
Agilent Technologies,ECMAScript,2000-05-07
Bain Capital,Tcl,2020-05-20
Whole Foods Market,C#,2012-06-04
Visa Inc.,Caml,2004-06-11
Baker Hughes,Python,2016-10-02
